ctrgcn_jm_3d,ctrgcn_b_3d,ctrgcn_j_3d,ctrgcn_j_3d_resample,ctrgcn_j_3d_resample_rotate,ctrgcn_b_2d,ctrgcn_j_2d,ctrgcn_bm_2d,ctrgcn_jm_2d,tdgcn_j_2d,blockgcn_j_3d,blockgcn_jm_3d,blockgcn_b_3d,blockgcn_bm_3d,ctrgcn_b_3d_resample_rotate,degcn_J_3d,degcn_B_3d,degcn_BM_3d,tegcn_V1_J_3d,tegcn_V1_B_3d,former_bm_r_w_2d,former_bm_2d,former_j_2d,former_j_3d,former_b_3d,former_j_3d_resample_rotate,former_jm_2d,former_b_3d_resample_rotate,skateformer_b_3d,skateformer_j_3d,true
0,125,125,125,125,24,36,125,1,36,125,125,125,36,125,125,125,125,125,54,68,27,125,125,64,125,68,0,0,125,0
45,1,125,125,1,1,1,1,1,1,125,1,125,25,1,1,125,1,45,55,70,1,1,44,1,1,70,1,1,1,1
37,37,37,37,2,2,2,2,2,2,37,37,2,43,2,37,37,37,37,56,2,35,2,2,2,37,2,2,2,2,2
21,3,3,3,3,21,3,29,29,21,3,3,3,20,3,3,3,3,3,57,21,21,3,21,21,3,21,3,3,3,3
4,49,49,49,4,49,4,4,4,49,4,4,49,4,49,4,4,4,49,58,49,4,4,49,49,49,49,49,49,49,4
5,103,103,103,103,103,58,103,58,103,103,103,103,103,103,103,103,103,30,59,103,58,103,103,5,103,103,103,103,103,5
46,46,46,6,46,141,28,127,28,28,46,46,6,6,46,6,6,6,46,60,54,25,28,127,32,6,54,6,6,46,6
7,7,7,7,7,29,29,29,7,7,7,7,7,7,7,7,7,7,7,61,7,29,7,7,7,7,7,7,7,7,7
33,47,47,47,47,8,8,8,33,8,8,8,8,8,8,8,8,47,47,62,8,111,8,47,47,8,8,47,47,8,8
9,9,9,9,9,48,48,48,9,9,9,48,9,9,28,9,9,9,9,63,9,9,27,28,28,9,9,9,28,48,9
10,25,10,10,10,10,48,10,9,10,25,10,25,25,10,10,10,10,28,64,10,10,10,8,8,28,10,25,25,48,10
11,11,12,11,11,11,11,11,12,11,11,11,11,11,12,11,11,11,11,65,12,11,11,11,11,11,12,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,66,12,12,12,12,12,12,12,12,12,12,12
144,13,13,13,13,144,13,13,34,144,13,13,13,47,13,13,13,47,13,67,144,47,13,13,13,144,144,13,13,13,13
14,145,14,14,14,18,1,48,48,1,14,14,145,14,14,14,14,14,145,68,48,42,13,145,14,14,48,14,14,14,14
14,14,14,14,14,13,48,28,63,42,14,14,14,145,14,14,14,14,145,69,48,13,28,145,14,145,48,14,14,14,14
37,37,37,37,37,15,37,37,15,15,15,37,37,37,37,37,37,37,37,37,15,34,37,37,37,37,15,37,37,37,15
16,16,16,16,16,15,37,15,16,15,16,16,16,5,16,16,16,16,16,71,16,64,16,16,16,16,16,16,16,16,16
17,17,17,17,17,17,17,17,17,17,17,17,17,5,17,17,5,17,5,129,17,17,17,17,5,5,17,17,17,17,17
33,18,18,18,18,25,25,47,25,25,18,47,18,47,18,18,18,33,18,73,57,33,25,18,18,18,57,18,18,18,18
19,19,17,129,19,19,19,116,115,19,129,19,19,140,19,19,140,19,129,99,115,115,19,19,19,19,115,140,19,19,19
66,66,20,66,20,66,20,20,20,59,20,20,20,20,66,66,66,20,66,32,20,20,20,20,20,22,20,20,66,20,20
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,101,21,21,21,21,21,21,21,21,21,21,21
22,22,22,66,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,55,23,22,22,22,22,22,23,22,22,22,22
23,23,23,23,23,103,58,58,23,103,23,23,23,23,23,23,23,23,22,103,112,143,58,23,23,23,112,23,23,23,23
24,36,24,36,118,24,20,56,24,36,36,47,24,36,36,24,24,36,47,104,24,127,20,24,36,36,24,24,24,24,24
25,48,25,10,10,25,25,25,28,25,25,25,25,28,10,25,25,25,25,105,28,28,25,8,8,25,28,25,25,10,25
116,115,116,116,116,117,117,117,116,116,116,116,115,5,115,116,116,115,116,106,117,115,116,116,26,116,117,116,26,116,26
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,107,27,27,27,27,27,27,27,27,27,27,27
28,8,8,28,8,8,8,8,109,25,28,8,8,8,8,48,8,8,8,108,10,72,48,8,8,28,10,8,28,28,28
29,29,29,29,29,29,29,29,29,29,15,29,29,29,29,29,29,29,50,109,29,29,29,29,29,29,29,29,29,29,29
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,110,30,30,30,30,30,30,30,30,30,30,30
31,31,31,31,31,31,19,31,31,31,31,31,31,43,31,31,31,31,31,111,31,72,31,31,31,31,31,31,31,31,31
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,112,32,33,32,32,32,32,32,32,32,32,32
33,33,33,33,33,33,8,28,8,33,33,33,33,33,33,33,33,33,33,113,33,33,33,33,33,33,33,33,33,33,33
1,35,1,153,34,36,109,44,34,109,125,1,34,43,0,1,35,36,64,114,69,1,64,0,0,64,69,44,34,34,34
34,35,35,35,35,9,9,10,9,9,35,1,35,35,34,35,35,35,35,115,9,9,9,1,1,35,9,1,34,35,35
36,36,36,36,36,36,40,36,40,36,36,36,36,36,36,36,36,36,36,116,40,36,40,36,36,62,40,36,36,36,36
37,37,39,39,37,31,0,37,39,39,39,37,37,39,39,37,37,39,37,117,37,144,31,64,70,37,37,39,39,39,37
39,39,40,39,39,39,39,39,39,39,31,39,39,39,38,39,39,39,39,19,31,72,39,39,39,39,31,38,26,39,38
37,39,39,39,39,37,39,31,69,39,39,37,39,117,39,39,39,39,39,119,31,24,39,31,39,39,31,117,39,39,39
41,118,40,40,40,40,118,39,117,39,40,39,40,43,118,40,40,38,41,120,31,117,40,118,64,118,31,118,118,24,40
36,40,118,24,118,43,118,10,108,58,118,36,118,47,118,118,118,118,118,122,24,27,102,118,36,118,24,118,118,118,41
115,42,42,140,42,117,117,107,113,117,42,39,42,42,118,42,42,26,26,124,116,107,118,118,42,38,116,140,118,42,42
43,118,118,43,118,118,103,1,9,103,118,43,118,43,118,118,118,43,47,36,31,103,103,118,118,118,31,118,118,118,43
144,44,44,44,42,44,44,44,44,44,44,144,44,47,44,44,44,144,44,6,69,112,1,44,42,44,69,44,44,44,44
